f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,timestamp,label
0.0,0.0,0.0,-0.35995394,-0.14046982,-0.122911096,-0.65845233,-0.40385076,-0.18436664,-0.8779364,-0.6145555,-0.23704283,-1.0447444,-0.7813634,-0.2984984,-0.2984984,-0.939392,-0.08779364,-0.4389682,-1.2993459,-0.17558728,-0.53554124,-1.5276093,-0.24582219,-0.5969968,-1.7207553,-0.30727774,-0.052676186,-0.9920682,-0.114131734,-0.061455548,-1.4134777,-0.17558728,-0.04389682,-1.6768585,-0.23704283,-0.035117455,-1.878784,-0.2984984,0.16680792,-0.9481713,-0.16680792,0.26338091,-1.325684,-0.26338091,0.33361584,-1.5627269,-0.35117456,0.37751266,-1.7734315,-0.4214095,0.35995394,-0.8252602,-0.2194841,0.57943803,-1.0535237,-0.34239522,0.7374666,-1.2115523,-0.4126301,0.86037767,-1.3695809,-0.4653063,2025-10-30T14:59:40.661,Open_Palm
0.0,0.0,0.0,-0.35132352,-0.14052941,-0.122963235,-0.64116544,-0.40402204,-0.18444484,-0.8607426,-0.6148162,-0.23714338,-1.0364044,-0.7729117,-0.298625,-0.28105882,-0.9397904,-0.08783088,-0.4303713,-1.2998971,-0.17566176,-0.5182022,-1.5194743,-0.24592647,-0.57968384,-1.7127022,-0.3074081,-0.04391544,-0.992489,-0.11418015,-0.061481617,-1.4052941,-0.17566176,-0.05269853,-1.6687868,-0.23714338,-0.04391544,-1.8707978,-0.28984192,0.17566176,-0.9485735,-0.15809558,0.26349264,-1.3262463,-0.25470954,0.32497427,-1.5633897,-0.34254044,0.36010662,-1.7654008,-0.41280514,0.3688897,-0.8256103,-0.21957721,0.5884669,-1.0627537,-0.33375734,0.7377794,-1.2296324,-0.40402204,0.8607426,-1.3789449,-0.4567206,2025-10-30T14:59:40.939,Open_Palm
0.0,0.0,0.0,-0.35995394,-0.14046982,-0.13169046,-0.6672317,-0.3950714,-0.20192538,-0.9042745,-0.5882174,-0.2721603,-1.1061999,-0.7286872,-0.33361584,-0.28971902,-0.939392,-0.096573,-0.43018883,-1.2993459,-0.17558728,-0.5179825,-1.51883,-0.25460157,-0.57943803,-1.7031966,-0.32483646,-0.052676186,-0.9920682,-0.114131734,-0.07023491,-1.4046983,-0.17558728,-0.061455548,-1.6592999,-0.24582219,-0.052676186,-1.8612252,-0.2984984,0.16680792,-0.9481713,-0.15802856,0.25460157,-1.3169047,-0.26338091,0.31605712,-1.545168,-0.35117456,0.35117456,-1.7558728,-0.4126301,0.35995394,-0.8252602,-0.2194841,0.57943803,-1.0535237,-0.34239522,0.7199079,-1.2115523,-0.40385076,0.8515983,-1.3695809,-0.45652694,2025-10-30T14:59:41.174,Open_Palm
0.0,0.0,0.0,-0.3477735,-0.13041507,-0.121720724,-0.66076964,-0.3738565,-0.1825811,-0.9215998,-0.5390489,-0.24344145,-1.1476526,-0.6259923,-0.31299615,-0.30430183,-0.93898845,-0.08694337,-0.44341123,-1.286762,-0.16519241,-0.52166027,-1.495426,-0.24344145,-0.5825206,-1.6780071,-0.30430183,-0.0695547,-0.9911545,-0.11302639,-0.07824904,-1.3997884,-0.16519241,-0.060860362,-1.6519241,-0.22605278,-0.043471687,-1.8518939,-0.28691316,0.14780374,-0.9476828,-0.16519241,0.24344145,-1.312845,-0.26083013,0.30430183,-1.5388978,-0.3477735,0.3477735,-1.7388675,-0.4173282,0.33907917,-0.82596207,-0.21735844,0.56513196,-1.0433205,-0.33907917,0.7129357,-1.1998186,-0.40863386,0.84335077,-1.3563167,-0.4607999,2025-10-30T14:59:41.455,Open_Palm
0.0,0.0,0.0,-0.34387058,-0.13754824,-0.120354705,-0.6619509,-0.37825763,-0.18912882,-0.93704736,-0.5244026,-0.25790295,-1.1777568,-0.5931768,-0.33527383,-0.30948353,-0.93704736,-0.10316118,-0.4556285,-1.2895147,-0.18912882,-0.5415962,-1.4958371,-0.25790295,-0.6017735,-1.6763691,-0.3180803,-0.07737088,-0.9886279,-0.12895148,-0.085967645,-1.3926759,-0.18912882,-0.06877412,-1.6419821,-0.24930617,-0.05158059,-1.8397076,-0.30088675,0.146145,-0.93704736,-0.17193529,0.23211265,-1.3067082,-0.2664997,0.29229,-1.5302241,-0.35246736,0.33527383,-1.7279497,-0.42124146,0.33527383,-0.81669265,-0.23211265,0.55019295,-1.0402086,-0.34387058,0.7049347,-1.1949503,-0.4126447,0.8252894,-1.3496921,-0.4556285,2025-10-30T14:59:41.665,Open_Palm
0.0,0.0,0.0,-0.34641448,-0.12990543,-0.12990543,-0.6668479,-0.3637352,-0.2078487,-0.9526398,-0.502301,-0.28579196,-1.19513,-0.5715839,-0.3637352,-0.3204334,-0.92665875,-0.11258471,-0.46765956,-1.290394,-0.2078487,-0.5542632,-1.4982426,-0.28579196,-0.62354606,-1.6801102,-0.34641448,-0.07794326,-0.98728126,-0.1385658,-0.09526398,-1.4029787,-0.2078487,-0.07794326,-1.6541291,-0.2771316,-0.060622536,-1.8533175,-0.32909375,0.1385658,-0.94397944,-0.19052796,0.22516942,-1.316375,-0.2944523,0.28579196,-1.5415444,-0.38105592,0.3204334,-1.7493931,-0.45033884,0.32909375,-0.8227344,-0.2511505,0.5542632,-1.0392435,-0.37239558,0.7014893,-1.2037903,-0.43301812,0.8313948,-1.3596768,-0.4849803,2025-10-30T14:59:41.916,Open_Palm
0.0,0.0,0.0,-0.35020417,-0.14008167,-0.12257146,-0.674143,-0.38522458,-0.19261229,-0.9367961,-0.55157155,-0.2626531,-1.1556737,-0.65663284,-0.33269396,-0.31518376,-0.9455513,-0.096306145,-0.46402052,-1.3045105,-0.18385719,-0.55157155,-1.514633,-0.2626531,-0.6216124,-1.7072453,-0.33269396,-0.07879594,-0.9893268,-0.12257146,-0.096306145,-1.4183269,-0.18385719,-0.096306145,-1.6722249,-0.25389802,-0.08755104,-1.8823475,-0.31518376,0.14008167,-0.9455513,-0.16634698,0.2013674,-1.339531,-0.2626531,0.24514292,-1.5671637,-0.34144905,0.27140823,-1.7860413,-0.4027348,0.34144905,-0.84049,-0.23638782,0.51655114,-1.094388,-0.33269396,0.6391226,-1.2694901,-0.38522458,0.74418384,-1.4445922,-0.4290001,2025-10-30T14:59:42.247,Open_Palm
0.0,0.0,0.0,-0.35124224,-0.13171585,-0.12293479,-0.64979815,-0.40392858,-0.18440218,-0.8429814,-0.64101714,-0.24586958,-1.0098215,-0.8254193,-0.2985559,-0.32489908,-0.93957305,-0.07024845,-0.465396,-1.2908152,-0.14927796,-0.55320656,-1.5103416,-0.23708852,-0.6146739,-1.703525,-0.30733696,-0.08781056,-0.9922594,-0.08781056,-0.12293479,-1.404969,-0.14927796,-0.12293479,-1.6596197,-0.21074535,-0.12293479,-1.870365,-0.27221274,0.12293479,-0.95713514,-0.1404969,0.1404969,-1.3435016,-0.21074535,0.14927796,-1.5805901,-0.2634317,0.14927796,-1.7825544,-0.31611803,0.31611803,-0.8517625,-0.20196429,0.36002332,-1.1503184,-0.27221274,0.39514753,-1.3522826,-0.30733696,0.41270965,-1.545466,-0.33368015,2025-10-30T14:59:42.471,Open_Palm
0.0,0.0,0.0,-0.35430154,-0.13286307,-0.115148,-0.6466003,-0.4163043,-0.16829322,-0.8414661,-0.6466003,-0.21258092,-1.0097593,-0.82375103,-0.26572615,-0.32772893,-0.93889904,-0.05314523,-0.46944952,-1.3020581,-0.13286307,-0.5580249,-1.5057815,-0.21258092,-0.6288852,-1.7006474,-0.2745837,-0.09743292,-0.99204427,-0.079717845,-0.14172061,-1.4172062,-0.13286307,-0.15057816,-1.6740748,-0.20372339,-0.15943569,-1.8866557,-0.2568686,0.115148,-0.95661414,-0.13286307,0.124005534,-1.3463458,-0.20372339,0.124005534,-1.5766418,-0.2568686,0.115148,-1.7892227,-0.3011563,0.31887138,-0.8591812,-0.20372339,0.36315906,-1.1603376,-0.2745837,0.38973168,-1.3640609,-0.3011563,0.40744677,-1.5677843,-0.32772893,2025-10-30T14:59:42.711,Open_Palm
0.0,0.0,0.0,-0.36247718,-0.1326136,-0.11493179,-0.66306806,-0.41552263,-0.16797723,-0.85756797,-0.65422714,-0.22102268,-1.0255452,-0.8398862,-0.2652272,-0.34479538,-0.9371362,-0.053045444,-0.4862499,-1.2907724,-0.1326136,-0.574659,-1.4941133,-0.21218178,-0.6365453,-1.6886133,-0.27406812,-0.11493179,-0.9901816,-0.07956816,-0.16797723,-1.4145452,-0.1326136,-0.18565905,-1.6620905,-0.20334086,-0.19449995,-1.8742723,-0.2563863,0.09724998,-0.96365887,-0.1326136,0.10609089,-1.3438178,-0.20334086,0.09724998,-1.5736815,-0.2563863,0.08840907,-1.7858633,-0.30059084,0.30059084,-0.8664089,-0.19449995,0.34479538,-1.1669997,-0.2652272,0.3713181,-1.3703406,-0.30059084,0.3889999,-1.5648406,-0.32711357,2025-10-30T14:59:42.944,Open_Palm
